Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
Development and evaluation of paddy straw and wheat chaff filter socks for sediment control in surface runoff,"Samanpreet Kaur, Prashant Shukla, Mukesh Siag, Sudhir Thaman",Urban Water Journal,22,2,p223 - p235,2025,10.1080/1573062x.2024.2446503,26-Dec-2024,https://doi.org/10.1080/1573062x.2024.2446503,38.0,0.0
When decarbonization rhymes with industrialization. The political dilemmas of increasing wood usage within the French construction industry,"Arnaud Sergent, Andy Smith",Journal of Environmental Policy & Planning,,,p1 - p14,5187,10.1080/1523908x.2024.2319240,01-Mar-2024,https://doi.org/10.1080/1523908x.2024.2319240,247.0,1.0
"Cupuaçu into Cupulate: Agronomic, Chemical, Sensory, Sustainable Approaches and Opportunities for New Food","Tatiana Barbieri Cochlar, Rafaela Giuliana Hermelino Lima, Sabrina Melo Evangelista, Natalia Maldaner Salvadori, Ziane da Conceição Das Mercês, Viviani Ruffo de Oliveira",Journal of Culinary Science & Technology,,,p1 - p16,5187,10.1080/15428052.2025.2478244,20-Mar-2025,https://doi.org/10.1080/15428052.2025.2478244,73.0,0.0
Byproductive limits and bits of animal life,"Hannah Dickinson, Catherine Oliver",Scottish Geographical Journal,140,3-4,p490 - p507,2024,10.1080/14702541.2024.2375003,29-Jul-2024,https://doi.org/10.1080/14702541.2024.2375003,797.0,3.0
Making Cells Worthwhile: Calculations of Value in a European Consortium for Induced Pluripotent Stem Cell Banking,Michael Morrison,Science as Culture,28,1,p46 - p69,2019,10.1080/09505431.2018.1538331,09-Nov-2018,https://doi.org/10.1080/09505431.2018.1538331,314.0,8.0
Food extrusion: An advanced process for innovation and novel product development,Andriana E Lazou,Critical Reviews in Food Science and Nutrition,64,14,p4532 - p4560,2024,10.1080/10408398.2022.2143474,07-Nov-2022,https://doi.org/10.1080/10408398.2022.2143474,2416.0,25.0
Industry-specific impacts of global drivers in the European Arctic,"J W Bjerke, R Bogadóttir, A G Edvardsdóttir, J Elomina, S Engen, A Iversen, J Miettinen, V Nygaard, P Rautio, L Suopajärvi, S Tuulentie, R Ólafsdóttir",Journal of Land Use Science,19,1,p150 - p169,2024,10.1080/1747423x.2024.2358951,18-Jun-2024,https://doi.org/10.1080/1747423x.2024.2358951,779.0,0.0
The Structural Genomics Consortium: successful organisational technology experiment or new institutional infrastructure for health research?,"Joanna Chataway, Molly Morgan Jones",Technology Analysis & Strategic Management,33,3,p296 - p306,2021,10.1080/09537325.2021.1882673,07-Mar-2021,https://doi.org/10.1080/09537325.2021.1882673,1694.0,5.0
The somatic-security industrial complex: theorizing the political economy of informationalized biology,"Rebecca J Hester, Owain David Williams",Review of International Political Economy,27,1,p98 - p124,2020,10.1080/09692290.2019.1625801,31-Jul-2019,https://doi.org/10.1080/09692290.2019.1625801,1384.0,6.0
From Luddites to limits? Towards a systematization of growth critiques in historical perspective,Matthias Schmelzer,Globalizations,20,3,p447 - p464,2023,10.1080/14747731.2022.2106044,16-Aug-2022,https://doi.org/10.1080/14747731.2022.2106044,2110.0,6.0
To renovate or build with wood? Results from Finnish citizen survey data,"Florencia Franzini, Katja Lähtinen, Enni Ruokamo, Anne Toppinen",Construction Management and Economics,42,10,p886 - p901,2024,10.1080/01446193.2024.2358063,03-Jun-2024,https://doi.org/10.1080/01446193.2024.2358063,797.0,1.0
Seven pillars of energy cooperation: an energy justice-driven framework for energy communities and energy cooperatives,"Iwo Buller, Maciej M Sokołowski, Madeline Taylor",Journal of Energy & Natural Resources Law,,,p1 - p23,5187,10.1080/02646811.2025.2455853,14-Feb-2025,https://doi.org/10.1080/02646811.2025.2455853,1416.0,1.0
"Application of Natural (Plant) Fibers Particularly Hemp Fiber as Reinforcement in Hybrid Polymer Composites - Part I. Origin of Hemp and Its Coming into Prominence, Cultivation Statistics, and Legal Regulations","Andrzej Bledzki, Mieczyslaw Scheibe, Magdalena Urbaniak",Journal of Natural Fibers,20,2,,2023,10.1080/15440478.2023.2251682,30-Aug-2023,https://doi.org/10.1080/15440478.2023.2251682,1266.0,4.0
"Valley of the unicorns: consumer genomics, venture capital and digital disruption",Stuart Hogarth,New Genetics and Society,36,3,p250 - p272,2017,10.1080/14636778.2017.1352469,09-Aug-2017,https://doi.org/10.1080/14636778.2017.1352469,3695.0,44.0
Flavor profile and role of macromolecules in the flavor generation of shrimp meat and valorization of shrimp by-products as a source of flavor compounds: a review,"Haritha Duppeti, Bettadaiah Bheemanakere Kempaiah, Sachindra Nakkarike Manjabhatta",Critical Reviews in Food Science and Nutrition,65,1,p123 - p142,2025,10.1080/10408398.2023.2268708,25-Oct-2023,https://doi.org/10.1080/10408398.2023.2268708,802.0,3.0
Tracing topic evolution in higher education: a text mining study on Italian universities,"Marco Abate, Filippo Chiarello, Francesca M Dovetto, Gualtiero Fantoni, Vito Giordano, Irene Spada",Studies in Higher Education,49,11,p1965 - p1983,2024,10.1080/03075079.2023.2284813,27-Nov-2023,https://doi.org/10.1080/03075079.2023.2284813,341.0,1.0
Risk and regulatory culture: governing recombinant DNA technology in the UK from 1970-1980,Farah Huzair,Technology Analysis & Strategic Management,33,3,p260 - p270,2021,10.1080/09537325.2020.1843616,24-Dec-2020,https://doi.org/10.1080/09537325.2020.1843616,2379.0,1.0
Enhancement of heat and mass transfer in drying systems for bio-economy and sustainable development,"Jiby Kurian, G S Vijaya Raghavan",Drying Technology,42,3,p576 - p586,2024,10.1080/07373937.2023.2292685,18-Dec-2023,https://doi.org/10.1080/07373937.2023.2292685,185.0,4.0
Contents of volume 58,,Regional Studies,58,12,p2539 - p2553,2024,10.1080/00343404.2024.2430873,01-Dec-2024,https://doi.org/10.1080/00343404.2024.2430873,63.0,0.0
Implementing fermentation technology for comprehensive valorisation of seafood processing by-products: A critical review on recovering valuable nutrients and enhancing utilisation,"Roberto Castro-Muñoz, Zahra Farajinejad, Dhanya Lakshmikanth, Chiranjiv Pradhan, Abhilash Sasidharan, Shahida Anusha Siddiqui",Critical Reviews in Food Science and Nutrition,65,5,p964 - p991,2025,10.1080/10408398.2023.2286623,14-Dec-2023,https://doi.org/10.1080/10408398.2023.2286623,3543.0,9.0
The governance of genome editing techniques for the European bio-based industry,Luana Ladu,Journal of Environmental Policy & Planning,23,2,p165 - p180,2021,10.1080/1523908x.2020.1850247,28-Nov-2020,https://doi.org/10.1080/1523908x.2020.1850247,520.0,2.0
A Comprehensive Review on Exploring the Nutraceutical Potential and Industrial Applications of Peach Waste,"Abuzar, Rizwan Arshad, Waqas Ashraf, Iahtisham-Ul-Haq, Abdur Rehman, Hafiz Rizwan Sharif, Mian Kamran Sharif",Food Reviews International,40,10,p3530 - p3554,2024,10.1080/87559129.2024.2366844,20-Jun-2024,https://doi.org/10.1080/87559129.2024.2366844,522.0,1.0
Protection of forest genetic resources by intellectual property rights - exploring possibilities and conceivable conflicts*,"Bo Karlsson, Tor Myking, Morten Walløe Tvedt",Scandinavian Journal of Forest Research,32,7,p598 - p606,2017,10.1080/02827581.2017.1293151,10-Mar-2017,https://doi.org/10.1080/02827581.2017.1293151,2665.0,3.0
"Discourse analysis of environmental policy revisited: traditions, trends, perspectives","Peter H Feindt, Reiner Keller, Sina Leipold, Georg Winkel",Journal of Environmental Policy & Planning,21,5,p445 - p463,2019,10.1080/1523908x.2019.1660462,10-Sep-2019,https://doi.org/10.1080/1523908x.2019.1660462,41196.0,151.0
Advances and trends in biotechnological production of natural astaxanthin by Phaffia rhodozyma yeast,"Laurent Dufossé, Cassamo U Mussagy, Jorge F B Pereira, Adalberto Jr Pessoa, Vijaya Raghavan, Valeria C Santos-Ebinuma",Critical Reviews in Food Science and Nutrition,63,13,p1862 - p1876,2023,10.1080/10408398.2021.1968788,26-Aug-2021,https://doi.org/10.1080/10408398.2021.1968788,1717.0,36.0
The Platform Approach,"Stefan Böschen, Agnes Förster, Peter Letmathe, Maren Paegert, Eva Strobel",disP - The Planning Review,58,3,p22 - p39,2022,10.1080/02513625.2022.2158590,19-Dec-2022,https://doi.org/10.1080/02513625.2022.2158590,160.0,3.0
Energy transformation in parliamentary debates: shifting from technologies to climate strategy in Finland,"Kaisa Matschoss, Juri Mykkänen, Petteri Repo",Environmental Politics,,,p1 - p21,5187,10.1080/09644016.2024.2431395,25-Nov-2024,https://doi.org/10.1080/09644016.2024.2431395,191.0,0.0
"The leftovers: a rural weaving of field care practices, taste and value within a local food-producing network","Thomas Budde Christensen, Emmy Laura Perez Fjalland",Journal of Cultural Economy,18,1,p109 - p128,2025,10.1080/17530350.2024.2306263,12-Apr-2024,https://doi.org/10.1080/17530350.2024.2306263,424.0,0.0
Defining competences for future geography students in relation to low carbon societies,"Jaume Feliu, Paula Inkeroinen, Iwona Markuszewska, Sergi Nuss, Minna Tanskanen, Josep Vila-Subirós",Journal of Geography in Higher Education,43,4,p415 - p430,2019,10.1080/03098265.2019.1660863,04-Sep-2019,https://doi.org/10.1080/03098265.2019.1660863,209.0,3.0
Sociological legitimacy of reindeer tourism in northern Finland,Mia Landauer,Scandinavian Journal of Hospitality and Tourism,,,p1 - p18,5187,10.1080/15022250.2025.2474750,06-Mar-2025,https://doi.org/10.1080/15022250.2025.2474750,459.0,0.0
Framing climate futures: the media representations of climate and energy policies in Finnish broadcasting company news,"Hanna-Liisa Kangas, Jari Lyytimäki, Erkki Mervaala, Suvi Vikström",Journal of Integrative Environmental Sciences,20,1,,2023,10.1080/1943815x.2023.2178464,19-Feb-2023,https://doi.org/10.1080/1943815x.2023.2178464,5127.0,7.0
Collaboration and shared logic for creating value-added in three Finnish wooden multi-storey building projects,"Katja Lähtinen, Noora Miilumäki, Ritva Toivonen, Anne Toppinen, Heini Vihemäki",Wood Material Science & Engineering,14,5,p269 - p279,2019,10.1080/17480272.2019.1653365,15-Aug-2019,https://doi.org/10.1080/17480272.2019.1653365,723.0,22.0
Civil society in local sustainable transformation - can bottom-up activities meet top-down expectations?,"Margareta Dahlström, Marie Nordfeldt",Journal of Civil Society,19,4,p401 - p418,2023,10.1080/17448689.2023.2255692,12-Sep-2023,https://doi.org/10.1080/17448689.2023.2255692,1381.0,2.0
Unlocking CO2's potential: exploring graphene-based catalysts for sustainable chemicals and fuels production,"Aanchal Agarwal, Noora Al-Qahtani, Rajender Boddula, Guo-Ping Chang-Chien, Bo-Wun Huang, Kapa Keharika, Yen-Yi Lee, Srinivaas Masimukku, Ramyakrishna Pothu",Green Chemistry Letters and Reviews,17,1,,2024,10.1080/17518253.2024.2426503,04-Dec-2024,https://doi.org/10.1080/17518253.2024.2426503,1236.0,2.0
Social integration mechanisms to strengthen absorptive capacity in agricultural advisory service organisations,"Bjørn Gunnar Hansen, Gunn-Turid Kvam, Egil Petter Stræte, Eystein Ystad",The Journal of Agricultural Education and Extension,29,4,p395 - p416,2023,10.1080/1389224x.2022.2117214,03-Sep-2022,https://doi.org/10.1080/1389224x.2022.2117214,1744.0,4.0
Advances in sustainable approaches utilizing orange peel waste to produce highly value-added bioproducts,"Meijin Guo, Muhammad Hammad Hussain, Imran Mehmood Khan, Zebo Liu, Ali Mohsin, Muhammad Zubair Mohsin, Sobia Niazi, Salim-Ur-Rehman, Xiwei Tian, Waqas Qamar Zaman, Junhong Zhang, Yingping Zhuang",Critical Reviews in Biotechnology,42,8,p1284 - p1303,2022,10.1080/07388551.2021.2002805,02-Dec-2021,https://doi.org/10.1080/07388551.2021.2002805,2362.0,45.0
Many Meats and Many Milks? The Ontological Politics of a Proposed Post-animal Revolution,"Erik Jönsson, Tobias Linné, Ally McCrow-Young",Science as Culture,28,1,p70 - p97,2019,10.1080/09505431.2018.1544232,22-Nov-2018,https://doi.org/10.1080/09505431.2018.1544232,5902.0,46.0
Climate change and class conflict in the Anthropocene: sink or swim together?,Murat Arsel,The Journal of Peasant Studies,50,1,p67 - p95,2023,10.1080/03066150.2022.2113390,25-Aug-2022,https://doi.org/10.1080/03066150.2022.2113390,10518.0,18.0
Shaping opportunity spaces: the role of narratives in place leadership,"Markus Grillitsch, Johan Miörner, Max Roessler, Daniel Schiller",Regional Studies,59,1,,2025,10.1080/00343404.2025.2471541,24-Mar-2025,https://doi.org/10.1080/00343404.2025.2471541,1320.0,1.0
Industrial Hemp As a Multi-Purpose Crop: Last Achievements and Research in 2018-2023,"Paweł Dudziec, Mariusz Jerzy Stolarski, Kazimierz Warmiński",Journal of Natural Fibers,21,1,,2024,10.1080/15440478.2024.2369186,27-Jun-2024,https://doi.org/10.1080/15440478.2024.2369186,2292.0,9.0
Power relations in European RDI-collaboration networks. Disparities in policy-driven opportunities for knowledge generation in ICT,"Marlies Schütz, Rita Strohmaier",Economics of Innovation and New Technology,31,3,p209 - p230,2022,10.1080/10438599.2020.1799139,22-Sep-2020,https://doi.org/10.1080/10438599.2020.1799139,3256.0,4.0
Sustainable valorisation of agro-waste: antibacterial cellulose micro-fibres from spent tea leaves and rotten grapes,"Harreet K Sidhu, Surabhi Soni",Indian Chemical Engineer,,,p1 - p14,5187,10.1080/00194506.2025.2513468,13-Jun-2025,https://doi.org/10.1080/00194506.2025.2513468,14.0,0.0
Exploring the environmental and economic impacts of wind energy: a cost-benefit perspective,"Kehinde Adeyeye, Jonathan Colton, Nelson Ijumba",International Journal of Sustainable Development & World Ecology,27,8,p718 - p731,2020,10.1080/13504509.2020.1768171,24-May-2020,https://doi.org/10.1080/13504509.2020.1768171,7656.0,48.0
Long-term transport decarbonization pathways in the European Union: a strategic energy-economy analysis,"Pantelis Capros, Panagiotis Karkatsoulis, Pelopidas Siskos, Ioannis Tsiropoulos","Energy Sources, Part B: Economics, Planning, and Policy",17,1,,2022,10.1080/15567249.2022.2101712,02-Aug-2022,https://doi.org/10.1080/15567249.2022.2101712,582.0,7.0
Bioengineering strategies of microalgae biomass for biofuel production: recent advancement and insight,"Lalitha Gnanasekaran, Jheng-Jie Jiang, Kuan Shiong Khoo, Nova Rachmadona, Saravanan Rajendran, Pau Loke Show, Thanigaivel Sundaram",Bioengineered,14,1,,2023,10.1080/21655979.2023.2252228,04-Sep-2023,https://doi.org/10.1080/21655979.2023.2252228,5083.0,24.0
"The specter of ""bad blood"" in Japanese blood banks",Jieun Kim,New Genetics and Society,37,4,p296 - p318,2018,10.1080/14636778.2018.1546575,19-Nov-2018,https://doi.org/10.1080/14636778.2018.1546575,1421.0,6.0
Effects of boom-corridor thinning on harvester productivity and residual stand structure,"Dan Bergström, Raul Fernandez-Lacruz, Christian Höök, Nike Krajnc, Jukka Malinen, Tomas Nordfjell, Yrjö Nuutinen, Matevž Triplat, Teresa de la Fuente",International Journal of Forest Engineering,33,3,p226 - p242,2022,10.1080/14942119.2022.2058258,17-Apr-2022,https://doi.org/10.1080/14942119.2022.2058258,1575.0,8.0
Which region to choose for an industrial policy? A research path to highlight restructuring opportunities,"Marco Capasso, Eric James Iversen, Antje Klitkou, Tore Sandven",European Planning Studies,27,8,p1461 - p1482,2019,10.1080/09654313.2019.1588855,18-Mar-2019,https://doi.org/10.1080/09654313.2019.1588855,1920.0,6.0
Exploring land use conflicts arising from economic activities and their impacts on local communities in the European Arctic,"Jarle Bjerke, Ragnheidur Bogadóttir, Karen Calanasan, Isidora Dabić, Anna Guðrún Edvardsdòttir, Jerbelle Elomina, Sigrid Engen, Audun Iversen, Gun Lidestav, Kristine Lynge-Pedersen, Sara Moioli, Vigdis Nygaard, Helga Pülzl, Pasi Rautio, Roy Robertsen, Sten Siikavuopio, Hans Tommervik, Seija Tuulentie, Rannveig Ólafsdóttir, Ivana Živojinović",Journal of Land Use Science,19,1,p186 - p210,2024,10.1080/1747423x.2024.2382676,30-Jul-2024,https://doi.org/10.1080/1747423x.2024.2382676,1698.0,2.0
Resilience to exogenous shocks in environmental management regimes in the Arctic - lessons learned from survivors,"Dorothy Dankel, Yajie Liu, Elizabeth Nyman, Rachel Tiller",The Polar Journal,9,1,p133 - p153,2019,10.1080/2154896x.2019.1618557,13-Jun-2019,https://doi.org/10.1080/2154896x.2019.1618557,209.0,3.0
The Role of Scientific Source Credibility and Goodwill in Public Skepticism Toward GM Foods,"Kathleen P Hunt, Dara M Wald",Environmental Communication,14,7,p971 - p986,2020,10.1080/17524032.2020.1725086,13-Mar-2020,https://doi.org/10.1080/17524032.2020.1725086,5402.0,26.0
Amplituhedron: A bio-melanin fibre synthesized from soil bacteria for the design of innovative sustainable garments,"Khajornsak Nakpan, Supavee Sirinkraporn",The Design Journal,26,2,p290 - p309,2023,10.1080/14606925.2022.2154782,03-Jan-2023,https://doi.org/10.1080/14606925.2022.2154782,284.0,0.0
Diverging timber architecture trajectories in Japan and South Korea: a comparative study,"Wong Chee Hoo, Pradeep Paraman, Charles Ramendran SPR",Journal of Asian Architecture and Building Engineering,,,p1 - p23,5187,10.1080/13467581.2024.2407154,02-Dec-2024,https://doi.org/10.1080/13467581.2024.2407154,477.0,0.0
"Food as Software: Place, Protein, and Feeding the World Silicon Valley-Style",Alexandra E Sexton,Economic Geography,96,5,p449 - p469,2020,10.1080/00130095.2020.1834382,18-Nov-2020,https://doi.org/10.1080/00130095.2020.1834382,9765.0,16.0
Hocus-pocus tricks and moral progressions: the emerging meanings of cultured meat in online news comments,"Toni Ryynänen, Anni Toivanen","Food, Culture & Society",26,3,p591 - p620,2023,10.1080/15528014.2022.2027688,26-Jan-2022,https://doi.org/10.1080/15528014.2022.2027688,2926.0,11.0
Enhancing the international regulation of science innovators: reputation to the rescue?,Sarah Devaney,"Law, Innovation and Technology",11,1,p134 - p154,2019,10.1080/17579961.2019.1573401,14-Feb-2019,https://doi.org/10.1080/17579961.2019.1573401,240.0,0.0
Nutritional enrichment of fruit peel wastes using lipid accumulating Aurantiochytrium strain as feed for aquaculture in the North-East Region of India,"Channakeshavaiah Chikkaputtaiah, Diganta Kumar Saikia, Natarajan Velmurugan",Environmental Technology,45,6,p1215 - p1233,2024,10.1080/09593330.2022.2139638,09-Nov-2022,https://doi.org/10.1080/09593330.2022.2139638,248.0,3.0
Benefits and challenges of streamlined life-cycle assessment for SMEs - findings from case studies on climate change impacts,"R Antikainen, A Holma, J Judl, P Leskinen, T Mattila, T Myllyviita, J Niemistö, S Sironen",International Journal of Sustainable Development & World Ecology,26,7,p625 - p634,2019,10.1080/13504509.2019.1646344,01-Aug-2019,https://doi.org/10.1080/13504509.2019.1646344,793.0,8.0
"The third sector of R&D: literature review, basic analysis, and research agenda",Olof Hallonsten,Prometheus,35,1,p21 - p35,2017,10.1080/08109028.2017.1362830,11-Aug-2017,https://doi.org/10.1080/08109028.2017.1362830,210.0,6.0
"Global health, accelerated: Rapid diagnostics and the fragile solidarities of 'emergency R&D'","Ann H Kelly, Javier Lezaun, Alice Street",Economy and Society,51,2,p187 - p210,2022,10.1080/03085147.2021.2014730,28-Feb-2022,https://doi.org/10.1080/03085147.2021.2014730,3425.0,17.0
"Chemicals from lignocellulosic biomass: A critical comparison between biochemical, microwave and thermochemical conversion methods","Felix Abeln, Hadiza Auta, Vitaly L Budarin, Huihui Chen, Christopher J Chuck, James H Clark, Jiajun Fan, Gang Luo, Sophie Parsons, Daniel C W Tsang, Iris K M Yu, Shicheng Zhang",Critical Reviews in Environmental Science and Technology,51,14,p1479 - p1532,2021,10.1080/10643389.2020.1753632,02-May-2020,https://doi.org/10.1080/10643389.2020.1753632,2237.0,65.0
Pore characteristics of hydrochars and their role as a vector for soil bacteria: A critical review of engineering options,"Christoph Pfeifer, Philipp Thunshirn, Walter W Wenzel",Critical Reviews in Environmental Science and Technology,52,23,p4147 - p4171,2022,10.1080/10643389.2021.1974256,14-Sep-2021,https://doi.org/10.1080/10643389.2021.1974256,3894.0,23.0
"(Re)Incorporating ""the Tangible"" in Industrial Path Development Analyses: The Role of Sociomaterial Contingencies in Explaining Potential Emergence of Hydrogen Production in Western Norway","Arnt Fløysand, Stig-Erik Jakobsen, Rune Njøs, Svein Gunnar Sjøtun",Economic Geography,100,5-6,p437 - p458,2024,10.1080/00130095.2024.2389858,16-Sep-2024,https://doi.org/10.1080/00130095.2024.2389858,1633.0,6.0
Navigating diverging responsibilities for inclusion in a biobased value chain: the case of Solaris tobacco in South Africa,"Lotte Asveld, Eefje de Gelder",Journal of Responsible Innovation,11,1,,2024,10.1080/23299460.2024.2414533,30-Oct-2024,https://doi.org/10.1080/23299460.2024.2414533,398.0,1.0
A Review on Agro-industrial Waste as Cellulose and Nanocellulose Source and Their Potentials in Food Applications,"Hafeedza Abdul Rahman, Ain Nadiah Sofiah Ahmad Khorairi, Seng Joe Lim, Noorul Syuhada Mohd Razali, Rizafizah Othaman, Noor-Soffalina Sofian-Seng, Wan Aida Wan Mustapha",Food Reviews International,39,2,p663 - p688,2023,10.1080/87559129.2021.1926478,17-May-2021,https://doi.org/10.1080/87559129.2021.1926478,1754.0,43.0
"Drug development, Brazilian biodiversity and political choices: Where are we heading?","Daniel Dias Rufino Arcanjo, Paulo Michel Pinheiro Ferreira, Ana Paula Peron","Journal of Toxicology and Environmental Health, Part B",26,5,p257 - p274,2023,10.1080/10937404.2023.2193762,26-Mar-2023,https://doi.org/10.1080/10937404.2023.2193762,1110.0,54.0
Business model for developing strategies of forest cooperatives. Evidence from an emerging business environment in Greece,"Christos Anastopoulos, Dimitra Lazaridou, Ioannis Papadopoulos, Marios Trigkas",Journal of Sustainable Forestry,39,3,p259 - p282,2020,10.1080/10549811.2019.1635031,26-Jun-2019,https://doi.org/10.1080/10549811.2019.1635031,827.0,17.0
Immobilization of heavy metals in contaminated soil after mining activity by using biochar and other industrial by-products: the significant role of minerals on the biochar surfaces,"van Minh Dang, Thi Minh Hoa Duong, Stephen Joseph, Thi Lan Anh Mai, David Mitchell, Paul Munroe, Sarasadat Taherymoosavi, Simon Weldon, Huu Tap van",Environmental Technology,40,24,p3200 - p3215,2019,10.1080/09593330.2018.1468487,08-May-2018,https://doi.org/10.1080/09593330.2018.1468487,1168.0,46.0
"Health vs. wealth: Employer, employee and policy-maker perspectives on occupational heat stress across multiple European industries","Lučka Kajfež Bogataj, Andreas D Flouris, Leonidas G Ioannou, Miriam Levi, Alessandro Messeri, Marco Morabito, Nathan B Morris, Lars Nybo, Jacob F Piil, Tjaša Pogačar, George Samoutis",Temperature,8,3,p284 - p301,2021,10.1080/23328940.2020.1852049,14-Dec-2020,https://doi.org/10.1080/23328940.2020.1852049,4362.0,20.0
"Between the local and the global? - reindeer herders' perspectives on land use challenges and conflicts in the Sámi homeland, Finland","A Nikula, P Rautio, T Rikkonen, M T Turunen, S Tuulentie",Journal of Land Use Science,19,1,p134 - p149,2024,10.1080/1747423x.2024.2359606,28-May-2024,https://doi.org/10.1080/1747423x.2024.2359606,1299.0,0.0
Second-generation biofuels: exploring imaginaries via deliberative workshops with farmers,"Christopher Groves, Meenakshisundaram Sankar, P John Thomas",Journal of Responsible Innovation,5,2,p149 - p169,2018,10.1080/23299460.2017.1422926,22-Feb-2018,https://doi.org/10.1080/23299460.2017.1422926,3057.0,19.0
Causes and solutions for fruit and vegetable waste: a participatory approach with Romanian farmers for sustainable agriculture,"Iulia Ajtai, Nicoleta Bican-Brișan, Lucian Cuibus, Oana Adriana Gica, Adina Letitia Negrusa, Dacinia Crina Petrescu, Ruxandra Malina Petrescu-Mag, Carmen Andreea Roba, Ancuta Tenter, Valentin Toader",International Journal of Agricultural Sustainability,22,1,,2024,10.1080/14735903.2024.2329391,26-Mar-2024,https://doi.org/10.1080/14735903.2024.2329391,4682.0,8.0
Enhancing students' digital skills through a Biotechnology & Bioprocessing module designed for chemical engineers,Alfred Fernandez-Castane,Cogent Education,11,1,,2024,10.1080/2331186x.2023.2299201,19-Jan-2024,https://doi.org/10.1080/2331186x.2023.2299201,806.0,0.0
"A European biobanking strategy for safeguarding macroalgal genetic material to ensure food security, biosecurity and conservation of biodiversity","Inka Bartsch, Ricardo Bermejo, Janina Brakel, Emeline Creis, Laurie C Hofmann, Bertrand Jacquemin, Jessica Knoop, Maike Lorenz, Levi Pompermayer Machado, Neusa Martins, Gabriel Montecinos Arismendi, Sotiris Orfanidis, Manuela I Parente, Ian Probert, Cecilia Rad Menendez, Ralf Rautenberger, Michael Ross, Jessica Schiller, Ester A Serrao, Sophie Steinhagen, Ronan Sulpice, Myriam Valero, Thomas Wichard, Olivier de Clerck",European Journal of Phycology,60,2,p197 - p220,2025,10.1080/09670262.2025.2480569,29-Apr-2025,https://doi.org/10.1080/09670262.2025.2480569,918.0,0.0
Advances in biomaterial production from animal derived waste,"Mukesh Kumar Awasthi, Gyanendra Kumar Gaur, Vivek Kumar Gaur, Neha Rawat, Narashans Alok Sagar, Ranjna Sirohi, Ayon Tarafdar, Pratik Ramesh Wankhade",Bioengineered,12,1,p8247 - p8258,2021,10.1080/21655979.2021.1982321,23-Nov-2021,https://doi.org/10.1080/21655979.2021.1982321,5067.0,42.0
A Fishy Story Promoting a False Dichotomy to Policy-Makers: It Is Not Freshwater vs. Marine Aquaculture,"Abigail B Bockus, Bela H Buck, Thierry Chopin, Barry Antonio Costa-Pierce, Joao G Ferreira, Nils Goseberg, Kevin G Heasman, Johan Johansen, Sandra E Shumway, Neil A Sims, Albert G J Tacon, Sander W K van den Burg",Reviews in Fisheries Science & Aquaculture,30,4,p429 - p446,2022,10.1080/23308249.2021.2014175,14-Dec-2021,https://doi.org/10.1080/23308249.2021.2014175,3532.0,12.0
Symposia: posters,,European Journal of Phycology,59,sup1,s134 - s230,2024,10.1080/09670262.2024.2317019,02-Apr-2024,https://doi.org/10.1080/09670262.2024.2317019,141.0,0.0
Consuming the creative city: gastrodevelopment in a UNESCO creative city of gastronomy,"Eden Kinkaid, Ellen Platts",Urban Geography,,,p1 - p21,5187,10.1080/02723638.2023.2296763,11-Jan-2024,https://doi.org/10.1080/02723638.2023.2296763,642.0,3.0
More frequent and stronger ties? Using QCA to assess the effects of policy in a Norwegian biotech cluster,John Eugene Chrisman,"Regional Studies, Regional Science",11,1,p645 - p659,2024,10.1080/21681376.2024.2402934,04-Oct-2024,https://doi.org/10.1080/21681376.2024.2402934,440.0,0.0
Fuel consumption and GHG emissions of forest biomass supply chains in Northern Sweden: a comparison analysis between integrated and conventional supply chains,"Dimitris Athanassiadis, Sara González-García, Tomas Nordfjell, Teresa de la Fuente",Scandinavian Journal of Forest Research,32,7,p568 - p581,2017,10.1080/02827581.2016.1259424,06-Mar-2017,https://doi.org/10.1080/02827581.2016.1259424,625.0,15.0
Farmers' perceptions of the challenges facing the biomass market in Poland; a case study from South and Central Poland,"Magdalena Dąbrowska, Anna Iglińska, Bartłomiej Igliński, Aleksandra Kaczmarek, Jakub Kajdanek, Aleksander Lisowski, Karthikeyan Natarajan, Ari Pappinen, Paavo Pelkonen, Maxim Trishkin, Anas Zyadin",Biofuels,12,7,p829 - p837,2021,10.1080/17597269.2018.1546486,30-Jan-2019,https://doi.org/10.1080/17597269.2018.1546486,129.0,5.0
Outdoor recreation in ecosystem service accounting: pilot accounts from Finland,"Tuija Lankia, Marjo Neuvonen, Eija Pouta, Tuija Sievänen, Jukka Torvelainen",Scandinavian Journal of Forest Research,35,3-4,p186 - p197,2020,10.1080/02827581.2020.1760342,10-Jun-2020,https://doi.org/10.1080/02827581.2020.1760342,1010.0,10.0
Testing Ecology: Breast and Gynecological Cancer Predisposition Tests and the National Healthcare System in Spain,Violeta Argudo-Portal,Medical Anthropology,44,1,p22 - p38,2025,10.1080/01459740.2024.2444617,24-Dec-2024,https://doi.org/10.1080/01459740.2024.2444617,640.0,0.0
Ethical choreography in China's Human Gene Editing controversy,Larry Au,Science as Culture,32,4,p535 - p557,2023,10.1080/09505431.2023.2218401,31-May-2023,https://doi.org/10.1080/09505431.2023.2218401,457.0,1.0
